index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110492,2019-10-20,1,13,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,A097,T H So,L Ho,119,2,V,30,-2,1140,+14,1.23.63,6,1,9/7/12/12/12/12,12,7-7-8-12,7,7,8,12,0,0,1383,2206,2344,2417,0,0,8350,2,4.25,2.75,10.25,0,0,35,"HK$ 725,000",10-1/4,48.0,66.0,9.1,15.0,0,0
110493,2019-10-20,1,14,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,B288,Z Purton,C H Yip,120,1,,29,-4,1018,+10,1.23.44,5,+1,5/7/11/8/11/7,2,8-6-5-2,8,6,5,2,0,0,1383,2190,2344,2277,0,0,8194,2,3.25,1.75,N,0,0,105,"HK$ 725,000",N,4.1,3.4,1.9,1.5,0,1
110494,2019-10-20,2,1,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,B220,K H Chan,D J Whyte,133,2,B/XB1,60,0,1049,+10,1.08.81,5,1,3/1/7/8/3/14,1,2-2-1,2,2,1,0,0,0,2428,2213,2205,0,0,0,6846,2.75,2.5,0.75,0,0,0,19,"HK$ 967,000",3/4,4.5,4.6,1.7,1.7,1,1
110495,2019-10-20,2,2,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,T348,C Y Ho,K W Lui,133,3,H,60,-1,1085,0,1.09.20,8,+1,6/9/11/5/9/9,5,7-6-5,7,6,5,0,0,0,2480,2217,2198,0,0,0,6894,6,6,3,0,0,0,14,"HK$ 967,000",3,5.9,7.2,1.9,2.2,0,0
110496,2019-10-20,2,3,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,B250,B Shinn,D J Hall,131,1,,58,+7,1104,+5,1.08.85,4,1,1/3/6/2/5/7,2,1-1-2,1,1,2,0,0,0,2384,2217,2258,0,0,0,6859,2.75,2.5,0.75,0,0,0,19,"HK$ 967,000",3/4,5.0,3.0,1.7,1.3,0,1
110497,2019-10-20,2,4,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C413,H T Mo,L Ho,130,7,H1,57,,1063,,,3,+1,,10,10-9-10,10,9,10,0,0,0,2520,2225,2232,0,0,0,6977,8.5,9,8.25,0,0,0,,"HK$ 967,000",8-1/4,44.0,41.0,9.2,9.8,0,0
110498,2019-10-20,2,5,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C311,Z Purton,P O'Sullivan,126,9,B,53,,1112,-26,1.10.00,3,+1,2/3/2,7,12-11-7,12,11,7,0,0,0,2544,2213,2193,0,0,0,6950,10,9.75,6.5,0,0,0,105,"HK$ 967,000",6-1/2,6.8,6.9,2.6,2.3,0,0
110499,2019-10-20,2,6,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C026,J Moreira,K H Ting,126,14,B,53,0,1169,+28,1.09.89,5,+1,5/2/3/3/2/6,6,6-7-6,6,7,6,0,0,0,2480,2229,2225,0,0,0,6934,6,6.75,5.5,0,0,0,105,"HK$ 967,000",5-1/2,5.5,5.9,2.1,1.9,0,0
110500,2019-10-20,2,7,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,D021,A Sanna,P F Yiu,125,8,,52,,967,,,4,1,,11,11-10-11,11,10,11,0,0,0,2528,2229,2226,0,0,0,6983,9,9.75,8.5,0,0,0,,"HK$ 967,000",8-1/2,74.0,99.0,13.0,23.0,0,0
110501,2019-10-20,2,8,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C332,L Hewitson,Y S Tsui,125,6,,52,,1133,,,3,+1,,13,3-4-13,3,4,13,0,0,0,2440,2245,2427,0,0,0,7112,3.5,5.25,16.75,0,0,0,,"HK$ 967,000",16-3/4,64.0,99.0,22.0,29.0,0,0
110502,2019-10-20,2,9,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C472,U Rispoli,J Size,125,4,,52,,1027,,,3,1,,3,4-3-3,4,3,3,0,0,0,2448,2213,2225,0,0,0,6886,4,3.75,2.5,0,0,0,,"HK$ 967,000",2-1/2,9.5,14.0,3.6,3.7,0,1
110503,2019-10-20,2,10,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,C498,M L Yeung,T P Yung,125,13,,52,,1024,,,4,1,,8,13-13-8,13,13,8,0,0,0,2560,2229,2179,0,0,0,6968,11,11.75,7.75,0,0,0,,"HK$ 967,000",7-3/4,99.0,99.0,34.0,46.0,0,0
110504,2019-10-20,2,11,ST,TURF,GOOD TO FIRM,A,Class 4,1200,6846,2384,2217,2245,0,0,0,A323,M F Poon,A T Millard,123,12,B,50,-2,1215,+6,1.09.49,5,1,8/4/2/5/8/2,14,14-14-14,14,14,14,0,0,0,2596,2257,2703,0,0,0,7556,13.25,15.75,44.5,0,0,0,19,"HK$ 967,000",44-1/2,28.0,39.0,6.3,8.7,0,0
