age,tname,jname,rating,track,bardraw,besttime,going,win_t5,place_t5,ind_win,ind_pla
4.0,0.1721311475409836,0.21374045801526717,40.0,1,10.0,69.92,2,12.0,3.1,0,0
6.0,0.3270440251572327,0.45806451612903226,37.0,1,2.0,70.51,2,1.8,1.1,0,1
4.0,0.2288135593220339,0.1511627906976744,36.0,1,6.0,83.01335999999999,2,24.0,5.7,0,0
8.0,0.1721311475409836,0.16296296296296298,35.0,1,9.0,69.86,2,19.0,3.7,0,0
8.0,0.24528301886792453,0.09803921568627451,31.0,1,5.0,70.26,2,58.0,10.0,0,0
4.0,0.16666666666666666,0.14285714285714285,27.0,1,7.0,70.68,2,28.0,4.8,0,0
6.0,0.3225806451612903,0.3613861386138614,25.0,1,3.0,70.31,2,7.9,2.2,1,1
6.0,0.18292682926829268,0.23255813953488372,25.0,1,1.0,69.69,2,6.4,1.9,0,1
7.0,0.22988505747126436,0.19318181818181818,24.0,1,8.0,69.22,2,7.7,1.8,0,0
5.0,0.23275862068965517,0.19736842105263158,15.0,1,4.0,70.86,2,35.0,5.2,0,0
5.0,0.23148148148148148,0.40131578947368424,40.0,1,8.0,109.72,2,7.1,2.6,0,0
5.0,0.23275862068965517,0.28,37.0,1,6.0,108.7,2,6.5,1.9,0,1
5.0,0.16666666666666666,0.1276595744680851,37.0,1,7.0,83.01335999999999,2,56.0,12.0,0,0
4.0,0.16666666666666666,0.3613861386138614,37.0,1,13.0,109.23,2,8.3,3.0,0,0
5.0,0.2549019607843137,0.14285714285714285,36.0,1,5.0,83.01335999999999,2,6.1,2.0,0,0
5.0,0.2549019607843137,0.49444444444444446,31.0,1,10.0,83.01335999999999,2,13.0,4.4,0,0
5.0,0.23275862068965517,0.21374045801526717,29.0,1,2.0,83.01335999999999,2,17.0,4.0,0,0
5.0,0.16666666666666666,0.23255813953488372,28.0,1,1.0,109.87,2,38.0,8.2,0,0
5.0,0.1610738255033557,0.19736842105263158,25.0,1,3.0,109.8,2,18.0,3.8,0,0
6.0,0.24528301886792453,0.45806451612903226,25.0,1,11.0,108.16,2,3.0,1.5,1,1
5.0,0.22988505747126436,0.16666666666666666,23.0,1,9.0,83.01335999999999,2,73.0,14.0,0,0
8.0,0.232,0.224,21.0,1,12.0,109.15,2,20.0,5.2,0,1
4.0,0.2288135593220339,0.1511627906976744,17.0,1,4.0,83.01335999999999,2,99.0,18.0,0,0
0.0,0.0,0.0,0.0,1,0.0,83.01335999999999,2,0.0,0.0,0,0
7.0,0.2972972972972973,0.40131578947368424,60.0,1,12.0,68.92,2,4.5,1.8,1,1
5.0,0.3225806451612903,0.1958762886597938,57.0,1,5.0,70.01,2,6.9,2.3,0,0
4.0,0.16666666666666666,0.23636363636363636,54.0,1,6.0,69.85,2,9.4,2.8,0,0
4.0,0.14150943396226415,0.14285714285714285,52.0,1,7.0,83.01335999999999,2,57.0,11.0,0,0
3.0,0.34814814814814815,0.3613861386138614,52.0,1,10.0,83.01335999999999,2,9.5,3.5,0,0
3.0,0.5035460992907801,0.45806451612903226,52.0,1,8.0,83.01335999999999,2,3.6,1.7,0,0
4.0,0.22988505747126436,0.16296296296296298,52.0,1,2.0,83.01335999999999,2,10.0,3.5,0,1
4.0,0.23148148148148148,0.28,52.0,1,4.0,83.01335999999999,2,53.0,12.0,0,0
4.0,0.25,0.23255813953488372,52.0,1,3.0,70.36,2,25.0,5.6,0,0
3.0,0.1610738255033557,0.09803921568627451,50.0,1,11.0,70.5,2,73.0,14.0,0,0
5.0,0.1721311475409836,0.21374045801526717,49.0,1,9.0,70.14,2,14.0,3.8,0,0
0.0,0.0,0.0,0.0,1,0.0,83.01335999999999,2,0.0,0.0,0,0
6.0,0.22988505747126436,0.16666666666666666,46.0,1,1.0,70.22,2,9.1,2.0,0,1
4.0,0.3225806451612903,0.3613861386138614,58.0,1,6.0,69.69,2,2.3,1.3,0,1
7.0,0.22988505747126436,0.16296296296296298,56.0,1,5.0,68.88,2,12.0,2.6,0,0
3.0,0.25,0.224,52.0,1,4.0,83.01335999999999,2,92.0,13.0,0,0
3.0,0.2818181818181818,0.09090909090909091,52.0,1,11.0,83.01335999999999,2,99.0,19.0,0,0
6.0,0.16666666666666666,0.1276595744680851,52.0,1,2.0,83.01335999999999,2,42.0,8.6,0,0
4.0,0.232,0.19318181818181818,52.0,1,9.0,70.66,2,29.0,7.6,0,0
3.0,0.34814814814814815,0.49444444444444446,52.0,1,8.0,83.01335999999999,2,7.4,2.2,0,1
3.0,0.2288135593220339,0.14285714285714285,52.0,1,13.0,83.01335999999999,2,28.0,6.2,0,0
5.0,0.1610738255033557,0.21374045801526717,51.0,1,7.0,69.04,2,14.0,3.6,0,0
4.0,0.14150943396226415,0.19736842105263158,48.0,1,1.0,69.92,2,5.0,1.7,1,1
4.0,0.2972972972972973,0.40131578947368424,47.0,1,10.0,69.72,2,6.9,1.9,0,0
3.0,0.3270440251572327,0.28,47.0,1,3.0,70.18,2,41.0,8.5,0,0
3.0,0.16666666666666666,0.23636363636363636,46.0,1,12.0,70.05,2,99.0,16.0,0,0
4.0,0.16666666666666666,0.16296296296296298,59.0,1,5.0,83.01335999999999,2,24.0,5.0,0,0
5.0,0.2972972972972973,0.19736842105263158,57.0,1,10.0,83.26,2,19.0,4.1,0,1
4.0,0.14150943396226415,0.09090909090909091,57.0,1,3.0,84.67,2,99.0,34.0,0,0
3.0,0.5035460992907801,0.45806451612903226,55.0,1,2.0,83.01335999999999,2,1.8,1.1,0,1
3.0,0.14150943396226415,0.19318181818181818,54.0,1,11.0,82.87,2,17.0,3.3,0,0
5.0,0.22988505747126436,0.49444444444444446,52.0,1,13.0,82.31,2,6.3,1.9,0,0
4.0,0.25,0.3613861386138614,52.0,1,1.0,83.35,2,99.0,17.0,0,0
5.0,0.232,0.28,50.0,1,8.0,82.44,2,6.8,1.9,0,0
3.0,0.23275862068965517,0.14285714285714285,47.0,1,12.0,83.36,2,99.0,16.0,0,0
4.0,0.2288135593220339,0.1511627906976744,47.0,1,4.0,84.56,2,99.0,21.0,0,0
6.0,0.22988505747126436,0.16666666666666666,46.0,1,6.0,81.79,2,13.0,3.2,1,1
4.0,0.23148148148148148,0.23636363636363636,45.0,1,9.0,83.01335999999999,2,72.0,7.7,0,0
5.0,0.1610738255033557,0.40131578947368424,42.0,1,7.0,82.96,2,10.0,2.8,0,0
5.0,0.16666666666666666,0.14285714285714285,60.0,0,4.0,83.01335999999999,2,22.0,5.8,0,1
4.0,0.232,0.49444444444444446,60.0,0,9.0,99.58,2,7.6,2.5,0,0
5.0,0.5035460992907801,0.45806451612903226,59.0,0,3.0,98.29,2,3.5,1.6,0,0
5.0,0.16666666666666666,0.21374045801526717,56.0,0,8.0,98.4,2,15.0,6.1,0,0
8.0,0.34814814814814815,0.3613861386138614,56.0,0,5.0,99.0,2,9.4,3.7,0,1
8.0,0.1610738255033557,0.19736842105263158,54.0,0,1.0,98.19,2,18.0,4.7,0,0
7.0,0.22988505747126436,0.16296296296296298,49.0,0,10.0,99.1,2,14.0,4.5,0,0
6.0,0.25,0.1511627906976744,47.0,0,6.0,98.13,2,18.0,5.6,0,0
8.0,0.16666666666666666,0.16666666666666666,46.0,0,12.0,98.77,2,21.0,5.0,0,0
6.0,0.23148148148148148,0.28,45.0,0,2.0,100.2,2,43.0,10.0,0,0
6.0,0.16666666666666666,0.40131578947368424,45.0,0,11.0,98.8,2,15.0,3.8,0,0
5.0,0.2818181818181818,0.19318181818181818,43.0,0,7.0,98.98,2,6.4,2.1,0,0
6.0,0.18292682926829268,0.224,41.0,0,13.0,100.63,2,8.7,2.6,1,1
6.0,0.2549019607843137,0.16666666666666666,77.0,1,9.0,107.31,2,15.0,3.9,0,1
5.0,0.16666666666666666,0.21374045801526717,77.0,1,12.0,83.01335999999999,2,34.0,7.4,0,0
5.0,0.24528301886792453,0.23636363636363636,76.0,1,5.0,83.01335999999999,2,7.4,2.7,1,1
7.0,0.2549019607843137,0.3613861386138614,75.0,1,3.0,107.29,2,14.0,3.3,0,0
6.0,0.34814814814814815,0.49444444444444446,74.0,1,2.0,107.03,2,3.0,1.4,0,0
4.0,0.16666666666666666,0.16296296296296298,74.0,1,4.0,108.51,2,4.4,1.9,0,0
7.0,0.25,0.19736842105263158,72.0,1,8.0,107.4,2,64.0,11.0,0,0
4.0,0.5035460992907801,0.45806451612903226,70.0,1,11.0,83.01335999999999,2,27.0,4.9,0,0
8.0,0.22988505747126436,0.40131578947368424,67.0,1,7.0,106.82,2,12.0,2.9,0,0
8.0,0.16666666666666666,0.1958762886597938,66.0,1,6.0,108.58,2,36.0,7.5,0,0
4.0,0.3270440251572327,0.1276595744680851,65.0,1,1.0,83.01335999999999,2,12.0,3.5,0,1
5.0,0.23148148148148148,0.28,61.0,1,10.0,83.01335999999999,2,8.4,3.0,0,0
5.0,0.2972972972972973,0.23636363636363636,78.0,1,4.0,81.53,2,4.4,1.8,0,0
5.0,0.1610738255033557,0.23255813953488372,78.0,1,6.0,82.95,2,99.0,25.0,0,0
7.0,0.23148148148148148,0.09803921568627451,78.0,1,13.0,80.84,2,75.0,15.0,0,0
5.0,0.5035460992907801,0.45806451612903226,76.0,1,8.0,81.76,2,25.0,5.6,0,0
5.0,0.1721311475409836,0.21374045801526717,75.0,1,3.0,82.26,2,29.0,6.4,0,0
6.0,0.3270440251572327,0.3613861386138614,74.0,1,9.0,80.67,2,29.0,6.3,0,0
4.0,0.22988505747126436,0.49444444444444446,72.0,1,7.0,85.52,2,7.3,2.5,0,1
4.0,0.232,0.28,70.0,1,14.0,83.26,2,88.0,16.0,0,0
5.0,0.2549019607843137,0.16296296296296298,65.0,1,1.0,81.31,2,19.0,4.5,0,0
6.0,0.18292682926829268,0.19736842105263158,63.0,1,5.0,82.02,2,9.0,2.1,0,0
5.0,0.16666666666666666,0.14285714285714285,63.0,1,10.0,82.35,2,16.0,5.2,0,0
6.0,0.3225806451612903,0.1958762886597938,61.0,1,11.0,84.29,2,99.0,24.0,0,0
4.0,0.34814814814814815,0.40131578947368424,61.0,1,2.0,83.16,2,2.8,1.3,1,1
4.0,0.2288135593220339,0.1511627906976744,60.0,1,12.0,82.97,2,8.0,2.8,0,1
8.0,0.1610738255033557,0.49444444444444446,104.0,0,11.0,97.19,2,7.4,2.6,0,0
5.0,0.5035460992907801,0.16666666666666666,102.0,0,8.0,97.15,2,8.0,2.2,0,0
5.0,0.1721311475409836,0.19736842105263158,92.0,0,7.0,83.01335999999999,2,56.0,12.0,0,0
5.0,0.34814814814814815,0.14285714285714285,92.0,0,14.0,98.2,2,19.0,5.8,0,0
5.0,0.3270440251572327,0.3613861386138614,87.0,0,3.0,98.17,2,18.0,4.4,0,1
6.0,0.2972972972972973,0.23636363636363636,86.0,0,4.0,97.68,2,17.0,4.1,0,0
5.0,0.5035460992907801,0.45806451612903226,86.0,0,12.0,83.01335999999999,2,10.0,3.2,0,1
5.0,0.34814814814814815,0.1958762886597938,83.0,0,6.0,98.2,2,4.5,1.6,0,0
5.0,0.1610738255033557,0.23255813953488372,83.0,0,2.0,83.01335999999999,2,16.0,3.6,0,0
7.0,0.16666666666666666,0.16666666666666666,83.0,0,9.0,98.01,2,35.0,7.0,0,0
8.0,0.3270440251572327,0.09803921568627451,82.0,0,1.0,83.01335999999999,2,86.0,15.0,0,0
4.0,0.16666666666666666,0.224,82.0,0,5.0,83.01335999999999,2,36.0,7.9,0,0
4.0,0.16666666666666666,0.1511627906976744,81.0,0,13.0,83.01335999999999,2,99.0,31.0,0,0
5.0,0.3225806451612903,0.40131578947368424,80.0,0,10.0,98.34,2,3.0,1.9,1,1
4.0,0.1721311475409836,0.21374045801526717,80.0,1,2.0,69.15,2,20.0,3.5,0,0
6.0,0.2972972972972973,0.19736842105263158,79.0,1,9.0,68.99,2,22.0,3.9,0,0
5.0,0.2288135593220339,0.23255813953488372,79.0,1,4.0,69.97,2,29.0,5.1,0,0
5.0,0.23275862068965517,0.16296296296296298,78.0,1,1.0,71.18,2,82.0,11.0,0,0
4.0,0.1610738255033557,0.1511627906976744,72.0,1,12.0,83.01335999999999,2,98.0,16.0,0,0
4.0,0.2818181818181818,0.224,71.0,1,10.0,70.03,2,39.0,6.3,0,1
5.0,0.25,0.49444444444444446,70.0,1,13.0,69.55,2,15.0,3.9,0,0
